,Unnamed: 0,timestamp,energy,dry_temp,relative_humid,glob_hor_rad,direc_norm_rad,diff_hor_rad,wind_dir,wind_speed
0,3264,2019-05-05 00:00:00,19.5214,11.7,74,0,0,0,340,2.6
1,3265,2019-05-05 00:15:00,19.4886,11.7,74,0,0,0,340,2.6
2,3266,2019-05-05 00:30:00,19.4064,11.7,74,0,0,0,340,2.6
3,3267,2019-05-05 00:45:00,19.3502,11.7,74,0,0,0,340,2.6
4,3268,2019-05-05 01:00:00,19.2804,11.7,72,0,0,0,280,3.1
5,3269,2019-05-05 01:15:00,19.2657,11.7,72,0,0,0,280,3.1
6,3270,2019-05-05 01:30:00,19.559201,11.7,72,0,0,0,280,3.1
7,3271,2019-05-05 01:45:00,19.2898542,11.7,72,0,0,0,280,3.1
8,3272,2019-05-05 02:00:00,19.2218,11.1,77,0,0,0,0,0.0
9,3273,2019-05-05 02:15:00,19.1997,11.1,77,0,0,0,0,0.0
10,3274,2019-05-05 02:30:00,20.347281,11.1,77,0,0,0,0,0.0
11,3275,2019-05-05 02:45:00,20.483506,11.1,77,0,0,0,0,0.0
12,3276,2019-05-05 03:00:00,27.621016,10.0,83,0,0,0,200,1.5
13,3277,2019-05-05 03:15:00,26.715666,10.0,83,0,0,0,200,1.5
14,3278,2019-05-05 03:30:00,27.670011,10.0,83,0,0,0,200,1.5
15,3279,2019-05-05 03:45:00,27.252542,10.0,83,0,0,0,200,1.5
16,3280,2019-05-05 04:00:00,28.15166,8.9,86,0,0,0,0,0.0
17,3281,2019-05-05 04:15:00,28.8593,8.9,86,0,0,0,0,0.0
18,3282,2019-05-05 04:30:00,29.858328,8.9,86,0,0,0,0,0.0
19,3283,2019-05-05 04:45:00,30.574716,8.9,86,0,0,0,0,0.0
20,3284,2019-05-05 05:00:00,32.42596,10.0,80,0,0,0,0,0.0
21,3285,2019-05-05 05:15:00,30.90339,10.0,80,0,0,0,0,0.0
22,3286,2019-05-05 05:30:00,31.764713,10.0,80,0,0,0,0,0.0
23,3287,2019-05-05 05:45:00,32.867160000000005,10.0,80,0,0,0,0,0.0
24,3288,2019-05-05 06:00:00,34.2097,11.7,72,29,1,29,350,1.5
25,3289,2019-05-05 06:15:00,34.564732,11.7,72,29,1,29,350,1.5
26,3290,2019-05-05 06:30:00,35.458110000000005,11.7,72,29,1,29,350,1.5
27,3291,2019-05-05 06:45:00,36.19011,11.7,72,29,1,29,350,1.5
28,3292,2019-05-05 07:00:00,36.96589,12.2,69,119,0,119,20,3.6
29,3293,2019-05-05 07:15:00,37.31279000000001,12.2,69,119,0,119,20,3.6
30,3294,2019-05-05 07:30:00,36.96744999999999,12.2,69,119,0,119,20,3.6
31,3295,2019-05-05 07:45:00,36.794830000000005,12.2,69,119,0,119,20,3.6
32,3296,2019-05-05 08:00:00,36.72924,12.8,67,177,12,172,30,5.2
33,3297,2019-05-05 08:15:00,36.81534,12.8,67,177,12,172,30,5.2
34,3298,2019-05-05 08:30:00,36.73015,12.8,67,177,12,172,30,5.2
35,3299,2019-05-05 08:45:00,36.66234000000001,12.8,67,177,12,172,30,5.2
36,3300,2019-05-05 09:00:00,36.51168,14.4,60,296,45,267,310,3.1
37,3301,2019-05-05 09:15:00,36.19904,14.4,60,296,45,267,310,3.1
38,3302,2019-05-05 09:30:00,36.33206,14.4,60,296,45,267,310,3.1
39,3303,2019-05-05 09:45:00,36.6079,14.4,60,296,45,267,310,3.1
40,3304,2019-05-05 10:00:00,36.37165,16.1,54,435,156,315,360,3.6
41,3305,2019-05-05 10:15:00,36.138744,16.1,54,435,156,315,360,3.6
42,3306,2019-05-05 10:30:00,36.74087,16.1,54,435,156,315,360,3.6
43,3307,2019-05-05 10:45:00,36.72852,16.1,54,435,156,315,360,3.6
44,3308,2019-05-05 11:00:00,35.927892,16.7,50,752,561,268,320,4.1
45,3309,2019-05-05 11:15:00,35.77648,16.7,50,752,561,268,320,4.1
46,3310,2019-05-05 11:30:00,36.02308,16.7,50,752,561,268,320,4.1
47,3311,2019-05-05 11:45:00,31.30562,16.7,50,752,561,268,320,4.1
48,3312,2019-05-05 12:00:00,30.037332,17.8,47,689,462,268,30,4.1
49,3313,2019-05-05 12:15:00,29.890581,17.8,47,689,462,268,30,4.1
50,3314,2019-05-05 12:30:00,30.17707,17.8,47,689,462,268,30,4.1
51,3315,2019-05-05 12:45:00,29.900358,17.8,47,689,462,268,30,4.1
52,3316,2019-05-05 13:00:00,30.072858,18.9,39,836,672,226,70,2.6
53,3317,2019-05-05 13:15:00,30.47858,18.9,39,836,672,226,70,2.6
54,3318,2019-05-05 13:30:00,30.400728,18.9,39,836,672,226,70,2.6
55,3319,2019-05-05 13:45:00,30.07837,18.9,39,836,672,226,70,2.6
56,3320,2019-05-05 14:00:00,29.982535,19.4,39,738,671,163,40,3.1
57,3321,2019-05-05 14:15:00,30.202907000000003,19.4,39,738,671,163,40,3.1
58,3322,2019-05-05 14:30:00,30.309078,19.4,39,738,671,163,40,3.1
59,3323,2019-05-05 14:45:00,30.149512,19.4,39,738,671,163,40,3.1
60,3324,2019-05-05 15:00:00,30.199982,18.9,34,720,688,198,360,2.1
61,3325,2019-05-05 15:15:00,30.184035,18.9,34,720,688,198,360,2.1
62,3326,2019-05-05 15:30:00,30.206182,18.9,34,720,688,198,360,2.1
63,3327,2019-05-05 15:45:00,30.162174,18.9,34,720,688,198,360,2.1
64,3328,2019-05-05 16:00:00,18.422262000000003,17.8,43,493,472,199,30,5.7
65,3329,2019-05-05 16:15:00,19.064697,17.8,43,493,472,199,30,5.7
66,3330,2019-05-05 16:30:00,19.171979,17.8,43,493,472,199,30,5.7
67,3331,2019-05-05 16:45:00,21.046926000000003,17.8,43,493,472,199,30,5.7
68,3332,2019-05-05 17:00:00,21.219998,17.2,46,373,520,137,30,4.1
69,3333,2019-05-05 17:15:00,20.553743,17.2,46,373,520,137,30,4.1
70,3334,2019-05-05 17:30:00,20.573902,17.2,46,373,520,137,30,4.1
71,3335,2019-05-05 17:45:00,20.436391,17.2,46,373,520,137,30,4.1
72,3336,2019-05-05 18:00:00,20.008589,17.2,46,210,521,69,30,2.1
73,3337,2019-05-05 18:15:00,19.448128,17.2,46,210,521,69,30,2.1
74,3338,2019-05-05 18:30:00,19.113159,17.2,46,210,521,69,30,2.1
75,3339,2019-05-05 18:45:00,18.685256,17.2,46,210,521,69,30,2.1
76,3340,2019-05-05 19:00:00,20.1698,16.1,50,46,181,28,270,4.1
77,3341,2019-05-05 19:15:00,20.0741,16.1,50,46,181,28,270,4.1
78,3342,2019-05-05 19:30:00,19.9561,16.1,50,46,181,28,270,4.1
79,3343,2019-05-05 19:45:00,19.8976,16.1,50,46,181,28,270,4.1
80,3344,2019-05-05 20:00:00,20.213607,13.9,60,0,0,0,210,3.1
81,3345,2019-05-05 20:15:00,19.7904,13.9,60,0,0,0,210,3.1
82,3346,2019-05-05 20:30:00,19.7458,13.9,60,0,0,0,210,3.1
83,3347,2019-05-05 20:45:00,19.721400000000003,13.9,60,0,0,0,210,3.1
84,3348,2019-05-05 21:00:00,19.6804,13.3,64,0,0,0,210,4.6
85,3349,2019-05-05 21:15:00,19.677,13.3,64,0,0,0,210,4.6
86,3350,2019-05-05 21:30:00,19.6622,13.3,64,0,0,0,210,4.6
87,3351,2019-05-05 21:45:00,19.6486,13.3,64,0,0,0,210,4.6
88,3352,2019-05-05 22:00:00,19.6426,12.8,62,0,0,0,210,5.2
89,3353,2019-05-05 22:15:00,19.6343,12.8,62,0,0,0,210,5.2
90,3354,2019-05-05 22:30:00,19.6222,12.8,62,0,0,0,210,5.2
91,3355,2019-05-05 22:45:00,19.984808,12.8,62,0,0,0,210,5.2
92,3356,2019-05-05 23:00:00,19.5997,12.2,62,0,0,0,210,3.6
93,3357,2019-05-05 23:15:00,26.50839,12.2,62,0,0,0,210,3.6
94,3358,2019-05-05 23:30:00,24.745887,12.2,62,0,0,0,210,3.6
95,3359,2019-05-05 23:45:00,23.70579,12.2,62,0,0,0,210,3.6
96,3360,2019-05-06 00:00:00,21.870322,11.1,66,0,0,0,200,3.6
97,3361,2019-05-06 00:15:00,21.517719,11.1,66,0,0,0,200,3.6
98,3362,2019-05-06 00:30:00,21.524245,11.1,66,0,0,0,200,3.6
99,3363,2019-05-06 00:45:00,20.732409,11.1,66,0,0,0,200,3.6
100,3364,2019-05-06 01:00:00,21.384829,10.0,74,0,0,0,0,0.0
101,3365,2019-05-06 01:15:00,19.787311,10.0,74,0,0,0,0,0.0
102,3366,2019-05-06 01:30:00,20.201119,10.0,74,0,0,0,0,0.0
103,3367,2019-05-06 01:45:00,19.310094,10.0,74,0,0,0,0,0.0
104,3368,2019-05-06 02:00:00,19.531264,11.1,64,0,0,0,180,3.1
105,3369,2019-05-06 02:15:00,13.116633,11.1,64,0,0,0,180,3.1
106,3370,2019-05-06 02:30:00,13.521685,11.1,64,0,0,0,180,3.1
107,3371,2019-05-06 02:45:00,12.969483000000002,11.1,64,0,0,0,180,3.1
108,3372,2019-05-06 03:00:00,13.626681,11.1,72,0,0,0,190,2.1
109,3373,2019-05-06 03:15:00,13.086920999999998,11.1,72,0,0,0,190,2.1
110,3374,2019-05-06 03:30:00,15.847392,11.1,72,0,0,0,190,2.1
111,3375,2019-05-06 03:45:00,15.247443,11.1,72,0,0,0,190,2.1
112,3376,2019-05-06 04:00:00,15.940868,10.6,71,0,0,0,190,2.1
113,3377,2019-05-06 04:15:00,15.206015,10.6,71,0,0,0,190,2.1
114,3378,2019-05-06 04:30:00,22.414379,10.6,71,0,0,0,190,2.1
115,3379,2019-05-06 04:45:00,19.506284,10.6,71,0,0,0,190,2.1
116,3380,2019-05-06 05:00:00,20.675033,10.0,74,1,1,1,180,1.5
117,3381,2019-05-06 05:15:00,17.249266000000002,10.0,74,1,1,1,180,1.5
118,3382,2019-05-06 05:30:00,18.015668,10.0,74,1,1,1,180,1.5
119,3383,2019-05-06 05:45:00,17.06825,10.0,74,1,1,1,180,1.5
120,3384,2019-05-06 06:00:00,17.920848999999997,10.6,66,44,20,42,180,2.6
121,3385,2019-05-06 06:15:00,16.547266,10.6,66,44,20,42,180,2.6
122,3386,2019-05-06 06:30:00,17.869448000000002,10.6,66,44,20,42,180,2.6
123,3387,2019-05-06 06:45:00,15.992371,10.6,66,44,20,42,180,2.6
124,3388,2019-05-06 07:00:00,17.617701999999998,12.2,62,157,123,121,240,2.1
125,3389,2019-05-06 07:15:00,16.290343,12.2,62,157,123,121,240,2.1
126,3390,2019-05-06 07:30:00,19.26077,12.2,62,157,123,121,240,2.1
127,3391,2019-05-06 07:45:00,17.23421,12.2,62,157,123,121,240,2.1
128,3392,2019-05-06 08:00:00,20.064333,14.4,53,363,388,180,250,2.1
129,3393,2019-05-06 08:15:00,19.306330000000003,14.4,53,363,388,180,250,2.1
130,3394,2019-05-06 08:30:00,21.796437,14.4,53,363,388,180,250,2.1
131,3395,2019-05-06 08:45:00,20.067965,14.4,53,363,388,180,250,2.1
132,3396,2019-05-06 09:00:00,22.517114000000003,16.7,45,593,753,114,220,1.5
133,3397,2019-05-06 09:15:00,21.98408,16.7,45,593,753,114,220,1.5
134,3398,2019-05-06 09:30:00,22.959727,16.7,45,593,753,114,220,1.5
135,3399,2019-05-06 09:45:00,21.855034,16.7,45,593,753,114,220,1.5
136,3400,2019-05-06 10:00:00,23.53908,18.3,42,726,702,185,20,3.1
137,3401,2019-05-06 10:15:00,22.315418,18.3,42,726,702,185,20,3.1
138,3402,2019-05-06 10:30:00,23.335048,18.3,42,726,702,185,20,3.1
139,3403,2019-05-06 10:45:00,22.425874,18.3,42,726,702,185,20,3.1
140,3404,2019-05-06 11:00:00,23.8732,19.4,33,885,795,197,320,2.1
141,3405,2019-05-06 11:15:00,22.335459,19.4,33,885,795,197,320,2.1
142,3406,2019-05-06 11:30:00,23.477655,19.4,33,885,795,197,320,2.1
